Spotify Ranking ,Artists,Tempo,Genre,Name,Valence,Danceability,Acousticness,Liveness,Energy,Key,Mode,Duration_ms,Speechiness
26,Ed Sheeran,95.977,Pop,Shape of You,0.93,0.83,0.35,0.09,0.65,1,0,233713,20.00%
27,Khalid,143.955,Hip Hop/ R&B,Love Lies (with Normani),0.34,0.71,0.04,0.13,0.65,6,1,201707,5.49%
28,Bebe Rexha,153.995,Pop,Meant to Be (feat. Florida Georgia Line),0.59,0.64,0.54,0.06,0.77,10,1,164205,21.40%
29,XXXTENTACION,134.021,Hip Hop/ R&B,Jocelyn Flores,0.44,0.87,0.04,0.3,0.39,0,0,119133,5.94%
30,Ed Sheeran,95.05,Pop,Perfect,0.17,0.6,0.01,0.11,0.45,8,1,263400,22.20%
31,Tyga,97.994,Hip Hop/ R&B,Taste (feat. Offset),0.34,0.88,0.06,0.1,0.56,0,1,232959,5.97%
32,Clean Bandit,105.005,Dance/Electronic,Solo (feat. Demi Lovato),0.57,0.74,0.88,0.35,0.64,11,0,222653,2.90%
33,Post Malone,143.95,Hip Hop/ R&B,I Fall Apart,0.29,0.56,0,0.2,0.54,8,0,223347,6.94%
34,Dennis Lloyd,99.976,Dance/Electronic,Nevermind,0.08,0.59,0.18,0.42,0.69,3,1,156600,3.00%
35,Luis Fonsi,96.024,Latin,Echame La Culpa,0.65,0.73,0.05,0.09,0.89,0,1,173720,8.48%
36,benny blanco,89.391,Pop,Eastside (with Halsey & Khalid),0.32,0.56,0.47,0.12,0.68,6,0,173800,24.20%
37,Camila Cabello,129.923,Pop,Never Be the Same,0.24,0.64,0,0.14,0.71,0,1,226973,27.00%
38,Selena Gomez,124.946,Pop,Wolves,0.31,0.72,0.56,0.18,0.81,11,0,197993,32.10%
39,XXXTENTACION,64.934,Hip Hop/ R&B,Changes,0.52,0.67,0.09,0.1,0.31,11,1,121887,7.05%
40,Dynoro,125.905,Dance/Electronic,In My Mind,0.16,0.69,0.07,0.12,0.77,6,1,184560,3.82%
41,Eminem,90.09,Pop,River (feat. Ed Sheeran),0.66,0.75,0.02,0.07,0.75,8,0,221013,46.30%
42,Daddy Yankee,95,Latin,Dura,0.83,0.79,0.12,0.41,0.85,1,1,200480,8.98%
43,Travis Scott,155.008,Hip Hop/ R&B,SICKO MODE,0.45,0.83,0.02,0.12,0.73,8,1,312820,7.22%
44,Imagine Dragons,167.997,Alternative,Thunder,0.29,0.61,0.16,0.15,0.82,0,1,187147,2.32%
45,Reik,94.023,Latin,Me Niego,0.77,0.78,0.04,0.64,0.78,0,0,221653,9.43%
46,Tiesto,128.005,Dance/Electronic,Jackie Chan,0.69,0.75,0.03,0.06,0.83,3,0,215760,4.29%
47,Bruno Mars,105.115,Hip Hop/ R&B,Finesse (Remix) [feat. Cardi B],0.93,0.7,0.18,0.02,0.86,5,0,217289,7.47%
48,Selena Gomez,102.061,Pop,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,0.51,0.6,0.14,0.12,0.72,6,1,207905,51.60%
49,NF,148.066,Hip Hop/ R&B,Let You Down,0.468,0.656,0.298,0.173,0.72,5,0,212120,0.122
50,The Weeknd,134.045,Hip Hop/ R&B,Call Out My Name,0.172,0.489,0.218,0.35,0.6,1,1,228373,0.036
